date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:21	368/368	U-----	200	untouched ('OK')	text/plain	etag:W/%226139a8e6-19ca%22	https://www.yasaminjtehrani.com/robots.txt		(from )
13:03:21	469401/469401	U-----	200	untouched ('OK')	text/html	date:Thu,%2022%20Sep%202022%2019:00:52%20GMT	https://www.yasaminjtehrani.com/	maddesign/maddesign/www.yasaminjtehrani.com/index.html	(from )
13:03:22	115218/115218	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856ea-1c212%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/jquery.js?id=c9bf6f2ff6b1a60a174c	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/jqueryf072.js	(from https://www.yasaminjtehrani.com/)
13:03:23	594/594	---MC-	200	added ('OK')	text/css	date:Thu,%2022%20Sep%202022%2019:03:22%20GMT	https://fonts.googleapis.com/css?family=Josefin%20Sans:400|Spectral:400|Josefin%20Sans:400|Josefin%20Sans:400|Nunito%20Sans:400|Josefin%20Sans:400|Josefin%20Sans:400|Josefin%20Sans:400|Josefin%20Sans:400|Josefin%20Sans:400	maddesign/maddesign/fonts.googleapis.com/css8cbd.css	(from https://www.yasaminjtehrani.com/)
13:03:23	243/243	---MC-	403	error ('Forbidden')	application/xml	date:Thu,%2022%20Sep%202022%2019:03:22%20GMT	https://s3-img.pixpa.com/	maddesign/maddesign/s3-img.pixpa.com/index.html	(from https://www.yasaminjtehrani.com/)
13:03:23	310932/310932	---MCZ	200	added ('OK')	text/html	date:Thu,%2022%20Sep%202022%2019:03:23%20GMT	https://d3s2irdjyrlkk2.cloudfront.net/	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/index.html	(from https://www.yasaminjtehrani.com/)
13:03:23	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2019:03:23%20GMT	https://fonts.googleapis.com/	maddesign/maddesign/fonts.googleapis.com/index.html	(from https://www.yasaminjtehrani.com/)
13:03:23	684/684	---M--	200	added ('OK')	image/png	etag:%229d26e4352393133ebaf4cb72faf8c777%22	https://s3-img.pixpa.com/com/large/29611-1488962474-yjt-logo72png.png	maddesign/maddesign/s3-img.pixpa.com/com/large/29611-1488962474-yjt-logo72png.png	(from https://www.yasaminjtehrani.com/)
13:03:24	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2022%20Sep%202022%2019:03:24%20GMT	https://fonts.gstatic.com/	maddesign/maddesign/fonts.gstatic.com/index.html	(from https://www.yasaminjtehrani.com/)
13:03:25	140715/140715	---MCZ	200	added ('OK')	text/css	etag:W/%22632856d4-225ab%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/common.css?id=b94cb426807584875324	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/common0859.css	(from https://www.yasaminjtehrani.com/)
13:03:26	85510/85510	---MCZ	200	added ('OK')	text/css	etag:W/%22632856d4-14e06%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/themesv2.css?id=d77e88a2a6f6b40926bd	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/themesv29313.css	(from https://www.yasaminjtehrani.com/)
13:03:27	45052/45052	---MCZ	200	added ('OK')	text/css	etag:W/%22632856d6-affc%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/mixcss.css?id=add8299faa9664a1cee5	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/mixcsseef3.css	(from https://www.yasaminjtehrani.com/)
13:03:27	235734/235734	---MCZ	200	added ('OK')	text/css	etag:W/%22632856d4-398d6%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/photo-gallery.css?id=8e435c6d3c7c7195cead	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/photo-galleryfd70.css	(from https://www.yasaminjtehrani.com/)
13:03:29	102629/102629	---MCZ	200	added ('OK')	text/css	etag:W/%22632856d4-190e5%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/light-gallery-custom.css?id=ffd66d4808f8e1d47ae4	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/light-gallery-custom3f3a.css	(from https://www.yasaminjtehrani.com/)
13:03:30	38423/38423	---MCZ	200	added ('OK')	text/css	etag:W/%22632856d4-9617%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/slideshow.css?id=f079e4ac5f1bc353de26	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/slideshow1f11.css	(from https://www.yasaminjtehrani.com/)
13:03:31	6342/6342	---MCZ	200	added ('OK')	text/css	etag:W/%22632856d4-18c6%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/extended-footer.css?id=970383cb21b108bbd544	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/components/extended-footeraf67.css	(from https://www.yasaminjtehrani.com/)
13:03:32	21003/21003	---MCZ	200	added ('OK')	text/css	etag:W/%22632856e2-520b%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/vendor/lightgallery.css?id=272db609c6a6731e6937	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/vendor/lightgallery478a.css	(from https://www.yasaminjtehrani.com/)
13:03:33	40254/40254	---MCZ	200	added ('OK')	text/css	etag:W/%22632856e2-9d3e%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/vendor/lg-transitions.css?id=a9eada1315d7d7bcf001	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/vendor/lg-transitions828e.css	(from https://www.yasaminjtehrani.com/)
13:03:34	27211/27211	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856e0-6a4b%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/proofing-store.js?id=a3bd10d1dbf44c0a95b1	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/proofing-store2d2a.js	(from https://www.yasaminjtehrani.com/)
13:03:34	5083/5083	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856de-13db%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/group.js?id=e2aa4c03e515a8b1098b	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/group8852.js	(from https://www.yasaminjtehrani.com/)
13:03:36	2009/2009	---MCZ	200	added ('OK')	text/css	etag:W/%22632856e2-7d9%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/css/vendor/jquery.Jcrop.css?id=d368b750e4c820ca3863	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/css/vendor/jquery.Jcropeed8.css	(from https://www.yasaminjtehrani.com/)
13:03:37	3773/3773	---MCZ	200	added ('OK')	application/javascript	etag:W/%22611abdfe-ebd%22	https://d3s2irdjyrlkk2.cloudfront.net/js/vendor/lazysizes/ls.respimg.min.js?id=1	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/js/vendor/lazysizes/ls.respimg.min681a.js	(from https://www.yasaminjtehrani.com/)
13:03:38	81119/81119	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856ec-13cdf%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/common.js?id=3938782ee69b3af74aae	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/common2241.js	(from https://www.yasaminjtehrani.com/)
13:03:39	40869/40869	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856e0-9fa5%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/theme-v2-global-store.js?id=7c08507970477ee1594d	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/theme-v2-global-store7559.js	(from https://www.yasaminjtehrani.com/)
13:03:40	40160/40160	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856f0-9ce0%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/ecommerce-common.js?id=9e610112b9edee798911	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/ecommerce-common1a1b.js	(from https://www.yasaminjtehrani.com/)
13:03:41	21580/21580	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856e0-544c%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/client-proofing.js?id=e5d7d823ac1d32cb969f	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/client-proofing50ec.js	(from https://www.yasaminjtehrani.com/)
13:03:42	15193/15193	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856de-3b59%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/vendor/jquery.Jcrop.js?id=e4cbc960251d4c44fa71	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/vendor/jquery.Jcropdf9e.js	(from https://www.yasaminjtehrani.com/)
13:03:43	143930/143930	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856ee-2323a%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/gallery.js?id=f47dc421af19cb84f49f	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/galleryfdd5.js	(from https://www.yasaminjtehrani.com/)
13:03:44	66892/66892	---MCZ	200	added ('OK')	application/javascript	etag:W/%22632856dc-1054c%22	https://d3s2irdjyrlkk2.cloudfront.net/compiled/js/lg/lg-all_9.js?id=7dccb6b1790957972b9d	maddesign/maddesign/d3s2irdjyrlkk2.cloudfront.net/compiled/js/lg/lg-all_97112.js	(from https://www.yasaminjtehrani.com/)
